ticket_id,short_description,description,category,assignment_group,resolution
INC1000001,Headset is overheating,Danielle at Austin Office reported that their headset (asset tag AST-37742) shuts down unexpectedly after running for 20-30 minutes due to overheating. Issue first observed on 2024-10-04. Requesting hardware support to resolve.,Hardware,Field Services,Cleaned dust from internal vents and reapplied thermal paste on headset (asset AST-37742); temperatures now within normal range. Verified with Danielle that the issue is resolved. Estimated resolution time: next business day.
INC1000002,InventoryDB backup failure,Daniel Doyle scheduled nightly backup job for InventoryDB failed to complete. Reported on 2026-01-23. Impact assessed as affecting downstream reporting.,Database,Database Administration,"Identified insufficient disk space on the backup volume for InventoryDB, freed up space, and re-ran the backup successfully. Time to resolve: 4 hours."
INC1000003,Salesforce is running very slowly,Patricia reported that Salesforce on Ubuntu 22.04 takes several minutes to load and respond to user input. This is impacting their ability to complete daily tasks. Issue started on 2024-11-18.,Software,Service Desk,"Cleared temporary files, disabled unnecessary startup add-ins, and updated Salesforce to the latest version; performance improved significantly. User confirmed resolution. Time to resolve: 2 hours."
INC1000004,Salesforce crashes on startup,Robert reported that Salesforce on Windows 11 crashes immediately with error code 0x80B959 every time it is launched. This is impacting their ability to complete daily tasks. Issue started on 2024-10-07.,Software,Application Support,Cleared corrupted application cache and reinstalled Salesforce on Windows 11; application now launches without errors. User confirmed resolution. Time to resolve: 1 hour.
INC1000005,Slack access request,Jonathan Johnson requires access to Slack to perform their job duties. Request submitted on 2025-02-24 with approval workflow initiated.,Access Management,Identity & Access Management,Access to Slack was granted following manager approval from Matthew Gardner; role-based permissions applied. Estimated resolution time: 2 hours.
INC1000006,Printer-Canon-imageRUNNER-20: paper jam,Bridget reported that Printer-Canon-imageRUNNER-20 at Austin Office has a persistent paper jam that cannot be cleared by the user. Issue reported on 2026-04-30.,Printing,Field Services,Technician cleared a torn paper fragment from the internal rollers of Printer-Canon-imageRUNNER-20 and ran a test print successfully. Time to resolve: 1 hour.
INC1000007,Email issue: calendar sync issue,Adam reported that they are calendar invites are not syncing correctly between Outlook and mobile device. First noticed on 2026-04-28.,Email,Email Administration,Reconfigured mobile device email profile and forced a manual sync; calendar entries now updating correctly. Confirmed with Adam that the issue is resolved. Time to resolve: 15 minutes.
INC1000008,Email issue: distribution list issue,Helen reported that they are is not receiving emails sent to a distribution list they should be a member of. First noticed on 2025-05-22.,Email,Service Desk,Added user to the correct distribution list and verified group membership synced correctly. Confirmed with Helen that the issue is resolved. Time to resolve: 2 hours.
INC1000009,Oracle Financials won't save files,Eric reported that Oracle Financials on macOS Sonoma returns an error and fails to save documents to the shared drive. This is impacting their ability to complete daily tasks. Issue started on 2026-08-16.,Software,Application Support,Corrected file permissions on the shared drive and cleared local Oracle Financials cache; file saving now works as expected. User confirmed resolution. Time to resolve: 30 minutes.
INC1000010,AWS Lambda function: decommission request,Brandon Davis requesting decommissioning of an unused AWS Lambda function to reduce costs. Submitted on 2026-05-28.,Cloud Services,Cloud Infrastructure,"Decommissioned the AWS Lambda function after confirming no active dependencies, and archived relevant data per policy. Time to resolve: 1 business day."
INC1000011,BillingDB data discrepancy,Renee Blair noticed inconsistent record counts between BillingDB and the reporting dashboard. Reported on 2025-10-12. Impact assessed as affecting downstream reporting.,Database,Database Administration,Traced the discrepancy to a failed ETL job for BillingDB and re-ran the job successfully; data now reconciled. Time to resolve: 15 minutes.
INC1000012,Phishing email report - confirmed,Security team confirmed a genuine phishing email report involving Teresa's account from IP 172.25.97.183. Reported/detected on 2026-05-15.,Security,Security Operations,"Contained the phishing email report by disabling the affected account temporarily, forcing a password reset, and enabling MFA; account restored after verification. Incident closed after confirming no further malicious activity. Time to resolve: next business day."
INC1000013,Printer-Canon-imageRUNNER-17: poor print quality,Christine reported that documents printed on Printer-Canon-imageRUNNER-17 at Singapore Office show faded or streaked output. Issue reported on 2026-06-07.,Printing,Desktop Support,Replaced toner cartridge and cleaned print heads on Printer-Canon-imageRUNNER-17; print quality restored to normal. Time to resolve: 3 business days.
INC1000014,Printer-Xerox-WorkCentre-11: not printing,Barbara reported that jobs sent to Printer-Xerox-WorkCentre-11 at Berlin Office are queued but never print. Issue reported on 2026-02-13.,Printing,Field Services,Restarted the print spooler service and reinstalled the driver for Printer-Xerox-WorkCentre-11; print jobs now complete successfully. Time to resolve: 30 minutes.
INC1000015,Email issue: mailbox full,Brandon reported that they are receiving a mailbox quota exceeded warning and cannot receive new emails. First noticed on 2025-03-01.,Email,Service Desk,Increased mailbox quota and assisted user in archiving older emails to a PST file; mailbox now within limits. Confirmed with Brandon that the issue is resolved. Time to resolve: 3 business days.
INC1000016,AWS Lambda function: provisioning request,Bobby Hall requesting provisioning of a new AWS Lambda function for an upcoming project. Submitted on 2024-11-28.,Cloud Services,Application Support,Provisioned the requested AWS Lambda function according to standard sizing guidelines and shared access details with Bobby Hall. Time to resolve: 3 business days.
INC1000017,AnalyticsDB connection timeout,"Mark Diaz application is unable to establish a connection to AnalyticsDB, timing out after 30 seconds. Reported on 2025-06-13. Impact assessed as affecting downstream reporting.",Database,Database Administration,Identified connection pool exhaustion on AnalyticsDB and increased the maximum pool size; connections now stable. Time to resolve: next business day.
INC1000018,Email issue: emails going to spam,Jason reported that they are reports that emails sent to a specific external client are landing in the client's spam folder. First noticed on 2025-03-30.,Email,Service Desk,Reviewed SPF/DKIM/DMARC records and corrected a misconfigured SPF record; deliverability confirmed improved. Confirmed with Jason that the issue is resolved. Time to resolve: 4 hours.
INC1000019,Telephony: voicemail not working,"Sharon at Sydney Office reported that their phone is unable to access voicemail, receiving an authentication error. Reported on 2026-01-02.",Telephony,Telecom Support,Reset voicemail PIN and reconfigured voicemail box settings; user confirmed access restored. Time to resolve: 30 minutes.
INC1000020,Slack permission elevation,Carolyn Daniel requires elevated permissions in Slack to complete a new project. Request submitted on 2025-12-27 with approval workflow initiated.,Access Management,Service Desk,"Elevated permissions were granted in Slack with manager approval from James Mayo, with a scheduled review in 90 days. Estimated resolution time: 2 hours."
INC1000021,Printer-HP-LaserJet-3: poor print quality,Angela reported that documents printed on Printer-HP-LaserJet-3 at Toronto Office show faded or streaked output. Issue reported on 2026-01-29.,Printing,Field Services,Replaced toner cartridge and cleaned print heads on Printer-HP-LaserJet-3; print quality restored to normal. Time to resolve: 2 hours.
INC1000022,Expired ssl certificate reported by user,Megan reported a expired SSL certificate via the security hotline. Reported/detected on 2026-04-27.,Security,Security Operations,"Analyzed the reported expired SSL certificate, removed the associated malicious email from all mailboxes, and issued a security awareness reminder to staff. Incident closed after confirming no further malicious activity. Time to resolve: next business day."
INC1000023,Printer-Xerox-WorkCentre-12: low toner,Richard reported that Printer-Xerox-WorkCentre-12 at Singapore Office is displaying a low toner warning. Issue reported on 2024-11-03.,Printing,Field Services,Replaced toner cartridge on Printer-Xerox-WorkCentre-12 from on-site inventory; warning cleared. Time to resolve: 4 hours.
INC1000024,Email issue: mailbox full,Robin reported that they are receiving a mailbox quota exceeded warning and cannot receive new emails. First noticed on 2025-11-04.,Email,Service Desk,Increased mailbox quota and assisted user in archiving older emails to a PST file; mailbox now within limits. Confirmed with Robin that the issue is resolved. Time to resolve: 30 minutes.
INC1000025,Oracle Financials permission elevation,Christy Porter requires elevated permissions in Oracle Financials to complete a new project. Request submitted on 2024-12-27 with approval workflow initiated.,Access Management,Service Desk,"Elevated permissions were granted in Oracle Financials with manager approval from Maria Thomas, with a scheduled review in 90 days. Estimated resolution time: 1 hour."
INC1000026,SalesReportingDB access revocation,Kimberly Burgess has changed roles and no longer requires access to SalesReportingDB. Request submitted on 2026-09-15 with approval workflow initiated.,Access Management,Identity & Access Management,Revoked SalesReportingDB access in accordance with least-privilege policy and updated access records. Estimated resolution time: 4 hours.
INC1000027,Azure VM: outage,Johnny Campos reports that the Azure VM is unreachable and services depending on it are down. Submitted on 2026-06-07.,Cloud Services,Application Support,"Identified the Azure VM had exceeded its resource quota, increased allocated resources, and restored service. Time to resolve: 4 hours."
INC1000028,Microsoft Teams password reset,Christopher Becker is unable to log in and has requested a password reset for Microsoft Teams. Request submitted on 2025-08-24 with approval workflow initiated.,Access Management,Service Desk,Reset password for Microsoft Teams account and sent temporary credentials securely to the user; user confirmed successful login. Estimated resolution time: 15 minutes.
INC1000029,Telephony: no dial tone,John at Remote - Home Office reported that their phone desk phone has no dial tone and cannot make or receive calls. Reported on 2025-10-25.,Telephony,Telecom Support,Replaced faulty Ethernet cable providing PoE to the desk phone and confirmed dial tone restored. Time to resolve: 15 minutes.
INC1000030,Telephony: softphone login issue,Sherri at London Office reported that their phone cannot log into the softphone application on their laptop. Reported on 2026-01-26.,Telephony,Desktop Support,Reset softphone credentials and reinstalled the client application; login confirmed successful. Time to resolve: 30 minutes.
INC1000031,Webcam screen is flickering,"Danny at Toronto Office reported that their webcam (asset tag AST-67733) display flickers intermittently, especially under load. Issue first observed on 2026-06-24. Requesting hardware support to resolve.",Hardware,Field Services,Reseated display cable and updated graphics driver on webcam (asset AST-67733); flickering resolved. Verified with Danny that the issue is resolved. Estimated resolution time: 1 hour.
INC1000032,External hard drive won't power on,Karen at Toronto Office reported that their external hard drive (asset tag AST-24953) does not power on when the power button is pressed. Issue first observed on 2026-03-31. Requesting hardware support to resolve.,Hardware,Field Services,Replaced faulty power supply unit on external hard drive (asset AST-24953) and confirmed device powers on normally. Verified with Karen that the issue is resolved. Estimated resolution time: 1 business day.
INC1000033,Printer-HP-LaserJet-5: not printing,Matthew reported that jobs sent to Printer-HP-LaserJet-5 at Berlin Office are queued but never print. Issue reported on 2025-04-18.,Printing,Desktop Support,Restarted the print spooler service and reinstalled the driver for Printer-HP-LaserJet-5; print jobs now complete successfully. Time to resolve: 4 hours.
INC1000034,Oracle Financials license activation error,Eric reported that Oracle Financials on Ubuntu 22.04 shows a licensing error (0x6B9D10) preventing use of premium features. This is impacting their ability to complete daily tasks. Issue started on 2024-09-18.,Software,Application Support,Reassigned an available Oracle Financials license to the user's account and re-activated the software successfully. User confirmed resolution. Time to resolve: 2 hours.
INC1000035,Telephony: softphone login issue,Jennifer at Toronto Office reported that their phone cannot log into the softphone application on their laptop. Reported on 2026-02-24.,Telephony,Desktop Support,Reset softphone credentials and reinstalled the client application; login confirmed successful. Time to resolve: 4 hours.
INC1000036,Azure App Service: decommission request,Pamela Romero requesting decommissioning of an unused Azure App Service to reduce costs. Submitted on 2024-12-02.,Cloud Services,Application Support,"Decommissioned the Azure App Service after confirming no active dependencies, and archived relevant data per policy. Time to resolve: 15 minutes."
INC1000037,AWS S3 bucket: outage,Sarah Romero reports that the AWS S3 bucket is unreachable and services depending on it are down. Submitted on 2025-02-08.,Cloud Services,Cloud Infrastructure,"Identified the AWS S3 bucket had exceeded its resource quota, increased allocated resources, and restored service. Time to resolve: 4 hours."
INC1000038,ServiceNow crashes on startup,Nathaniel reported that ServiceNow on Windows 11 crashes immediately with error code 0x683DE8 every time it is launched. This is impacting their ability to complete daily tasks. Issue started on 2025-01-12.,Software,Application Support,Cleared corrupted application cache and reinstalled ServiceNow on Windows 11; application now launches without errors. User confirmed resolution. Time to resolve: 1 hour.
INC1000039,Webcam screen is flickering,"Stephanie at Berlin Office reported that their webcam (asset tag AST-71592) display flickers intermittently, especially under load. Issue first observed on 2026-07-22. Requesting hardware support to resolve.",Hardware,Field Services,Reseated display cable and updated graphics driver on webcam (asset AST-71592); flickering resolved. Verified with Stephanie that the issue is resolved. Estimated resolution time: 15 minutes.
INC1000040,HR_DB password reset,Linda Burns is unable to log in and has requested a password reset for HR_DB. Request submitted on 2026-04-28 with approval workflow initiated.,Access Management,Service Desk,Reset password for HR_DB account and sent temporary credentials securely to the user; user confirmed successful login. Estimated resolution time: 3 business days.
INC1000041,Jira won't install,John reported that Jira on Ubuntu 22.04 installation fails partway through with error code 0x748765. This is impacting their ability to complete daily tasks. Issue started on 2025-03-11.,Software,Application Support,"Downloaded latest installer package for Jira, ran as administrator, and completed a clean installation. User confirmed resolution. Time to resolve: 1 business day."
INC1000042,Microsoft Outlook won't install,Ashley reported that Microsoft Outlook on macOS Sonoma installation fails partway through with error code 0x36929C. This is impacting their ability to complete daily tasks. Issue started on 2024-11-12.,Software,Application Support,"Downloaded latest installer package for Microsoft Outlook, ran as administrator, and completed a clean installation. User confirmed resolution. Time to resolve: 30 minutes."
INC1000043,Barcode scanner won't connect to docking station,Jessica at Remote - Home Office reported that their barcode scanner (asset tag AST-87993) is not detected when connected to the docking station. Issue first observed on 2026-05-05. Requesting hardware support to resolve.,Hardware,Desktop Support,Updated docking station firmware and drivers for barcode scanner (asset AST-87993); connection restored. Verified with Jessica that the issue is resolved. Estimated resolution time: 4 hours.
INC1000044,Printer-Xerox-WorkCentre-13: poor print quality,Tiffany reported that documents printed on Printer-Xerox-WorkCentre-13 at Toronto Office show faded or streaked output. Issue reported on 2025-10-10.,Printing,Desktop Support,Replaced toner cartridge and cleaned print heads on Printer-Xerox-WorkCentre-13; print quality restored to normal. Time to resolve: 3 business days.
INC1000045,Printer-HP-LaserJet-14: poor print quality,David reported that documents printed on Printer-HP-LaserJet-14 at Berlin Office show faded or streaked output. Issue reported on 2026-01-11.,Printing,Desktop Support,Replaced toner cartridge and cleaned print heads on Printer-HP-LaserJet-14; print quality restored to normal. Time to resolve: 4 hours.
INC1000046,Docking station won't power on,Stacey at Berlin Office reported that their docking station (asset tag AST-86955) does not power on when the power button is pressed. Issue first observed on 2025-01-14. Requesting hardware support to resolve.,Hardware,Desktop Support,Replaced faulty power supply unit on docking station (asset AST-86955) and confirmed device powers on normally. Verified with Stacey that the issue is resolved. Estimated resolution time: 4 hours.
INC1000047,GCP Cloud Storage bucket: access issue,Lisa Brandt cannot access a GCP Cloud Storage bucket they were previously able to reach. Submitted on 2026-07-27.,Cloud Services,Cloud Infrastructure,Corrected an IAM policy that had inadvertently restricted access to the GCP Cloud Storage bucket; access confirmed restored. Time to resolve: 3 business days.
INC1000048,Email issue: calendar sync issue,Karina reported that they are calendar invites are not syncing correctly between Outlook and mobile device. First noticed on 2026-02-02.,Email,Email Administration,Reconfigured mobile device email profile and forced a manual sync; calendar entries now updating correctly. Confirmed with Karina that the issue is resolved. Time to resolve: 1 business day.
INC1000049,Printer-Xerox-WorkCentre-14: poor print quality,Jennifer reported that documents printed on Printer-Xerox-WorkCentre-14 at Toronto Office show faded or streaked output. Issue reported on 2025-07-04.,Printing,Desktop Support,Replaced toner cartridge and cleaned print heads on Printer-Xerox-WorkCentre-14; print quality restored to normal. Time to resolve: next business day.
INC1000050,Tableau license activation error,Emily reported that Tableau on macOS Ventura shows a licensing error (0x139672) preventing use of premium features. This is impacting their ability to complete daily tasks. Issue started on 2025-06-15.,Software,Application Support,Reassigned an available Tableau license to the user's account and re-activated the software successfully. User confirmed resolution. Time to resolve: 4 hours.
INC1000051,Ransomware alert detected,Security monitoring system flagged a ransomware alert originating from IP 172.23.48.184 associated with Rachel's account. Reported/detected on 2024-11-01.,Security,Security Operations,"Investigated the ransomware alert, confirmed it was a false positive triggered by a new device login, and whitelisted the device after verification. Incident closed after confirming no further malicious activity. Time to resolve: next business day."
INC1000052,Email issue: unable to send emails,Andrew reported that they are receiving a non-delivery report (NDR) when trying to send emails to external recipients. First noticed on 2025-10-25.,Email,Service Desk,Identified that the domain was temporarily blacklisted by the recipient's mail server; submitted delisting request and confirmed emails are now delivering. Confirmed with Andrew that the issue is resolved. Time to resolve: 1 business day.
INC1000053,Telephony: softphone login issue,Brianna at Sydney Office reported that their phone cannot log into the softphone application on their laptop. Reported on 2024-09-21.,Telephony,Telecom Support,Reset softphone credentials and reinstalled the client application; login confirmed successful. Time to resolve: 1 business day.
INC1000054,Mobile phone is overheating,Jean at Austin Office reported that their mobile phone (asset tag AST-91609) shuts down unexpectedly after running for 20-30 minutes due to overheating. Issue first observed on 2024-10-29. Requesting hardware support to resolve.,Hardware,Desktop Support,Cleaned dust from internal vents and reapplied thermal paste on mobile phone (asset AST-91609); temperatures now within normal range. Verified with Jean that the issue is resolved. Estimated resolution time: 3 business days.
INC1000055,Wireless mouse screen is flickering,"Carlos at Sydney Office reported that their wireless mouse (asset tag AST-27172) display flickers intermittently, especially under load. Issue first observed on 2024-10-08. Requesting hardware support to resolve.",Hardware,Desktop Support,Reseated display cable and updated graphics driver on wireless mouse (asset AST-27172); flickering resolved. Verified with Carlos that the issue is resolved. Estimated resolution time: 3 business days.
